generator,repeat,chi2,df,p_value,lower_tail,central_p,min_count,max_count,count_std
lcg_minstd,118,123.7750000000,124,0.488807182,0.511192818,0.9776143639,58,103,8.9361534627
lcg_minstd,119,142.7500000000,124,0.1195480066,0.8804519934,0.2390960133,61,104,9.5967064243
lcg_minstd,120,131.3750000000,124,0.3080160001,0.6919839999,0.6160320001,58,100,9.2064143137
lcg_minstd,121,101.0500000000,124,0.9351586089,0.06484139112,0.1296827822,60,97,8.0742521875
lcg_minstd,122,107.6750000000,124,0.8515598042,0.1484401958,0.2968803916,60,101,8.3347310656
lcg_minstd,123,106.7750000000,124,0.8656629611,0.1343370389,0.2686740778,54,105,8.2998251050
lcg_minstd,124,111.9750000000,124,0.7724885916,0.2275114084,0.4550228168,62,99,8.4995256035
lcg_minstd,125,130.6250000000,124,0.3243440059,0.6756559941,0.6486880119,59,105,9.1800976873
lcg_minstd,126,134.5750000000,124,0.2434093555,0.7565906445,0.4868187109,59,101,9.3178635236
lcg_minstd,127,134.9000000000,124,0.23733587,0.76266413,0.47467174,50,100,9.3291081066
lcg_minstd,128,141.9750000000,124,0.1287412346,0.8712587654,0.2574824693,48,104,9.5706203662
lcg_minstd,129,117.2500000000,124,0.6532519035,0.3467480965,0.693496193,53,104,8.6974226809
lcg_minstd,130,151.4000000000,124,0.04768654468,0.9523134553,0.09537308935,56,112,9.8831887240
lcg_minstd,131,135.6000000000,124,0.2245734013,0.7754265987,0.4491468025,60,105,9.3532812942
lcg_minstd,132,111.5000000000,124,0.7821260827,0.2178739173,0.4357478347,65,102,8.4814788729
lcg_minstd,133,155.5250000000,124,0.02903702905,0.970962971,0.05807405809,55,104,10.0169211676
lcg_minstd,134,120.7000000000,124,0.5670994528,0.4329005472,0.8658010944,61,106,8.8244528296
lcg_minstd,135,125.6250000000,124,0.4423380694,0.5576619306,0.8846761388,51,104,9.0026877707
lcg_minstd,136,99.4500000000,124,0.9487153595,0.05128464051,0.102569281,60,102,8.0100743019
lcg_minstd,137,101.8250000000,124,0.9277246183,0.07227538174,0.1445507635,63,99,8.1051556670
lcg_minstd,138,120.2000000000,124,0.5797881387,0.4202118613,0.8404237226,61,110,8.8061562044
lcg_minstd,139,117.7500000000,124,0.6410311971,0.3589688029,0.7179376059,60,105,8.7159475638
lcg_minstd,140,115.3250000000,124,0.6990460173,0.3009539827,0.6019079654,52,104,8.6257304506
lcg_minstd,141,139.4000000000,124,0.1630381915,0.8369618085,0.3260763829,53,105,9.4834320724
lcg_minstd,142,116.8000000000,124,0.6641455981,0.3358544019,0.6717088038,55,105,8.6807164860
lcg_minstd,143,119.1500000000,124,0.6062643199,0.3937356801,0.7874713601,60,104,8.7676090094
lcg_minstd,144,105.3750000000,124,0.8858593182,0.1141406818,0.2282813635,60,101,8.2452332270
lcg_minstd,145,102.9500000000,124,0.9158733446,0.08412665541,0.1682533108,55,99,8.1498070430
lcg_minstd,146,111.6750000000,124,0.7785999164,0.2214000836,0.4428001672,62,103,8.4881321324
lcg_minstd,147,132.8500000000,124,0.2771797638,0.7228202362,0.5543595276,61,104,9.2579521180
lcg_minstd,148,115.5750000000,124,0.6932256213,0.3067743787,0.6135487574,59,101,8.6350747611
lcg_minstd,149,122.7250000000,124,0.515497297,0.484502703,0.969005406,50,97,8.8981694384
lcg_minstd,150,139.6750000000,124,0.1590942227,0.8409057773,0.3181884454,55,99,9.4927816380
lcg_minstd,151,102.9500000000,124,0.9158733446,0.08412665541,0.1682533108,58,100,8.1498070430
lcg_minstd,152,100.2000000000,124,0.9426530903,0.05734690971,0.1146938194,64,100,8.0402214702
lcg_minstd,153,114.6000000000,124,0.7156830965,0.2843169035,0.568633807,56,105,8.5985745255
lcg_minstd,154,108.5000000000,124,0.8378674658,0.1621325342,0.3242650683,53,99,8.3666002653
lcg_minstd,155,128.9750000000,124,0.3616716001,0.6383283999,0.7233432001,61,109,9.1219338640
lcg_minstd,156,108.0750000000,124,0.8450118818,0.1549881182,0.3099762364,61,102,8.3501979888
lcg_minstd,157,132.7250000000,124,0.2797248043,0.7202751957,0.5594496086,59,102,9.2535956394
lcg_minstd,158,112.3500000000,124,0.7647334359,0.2352665641,0.4705331281,58,105,8.5137460009
lcg_minstd,159,126.9000000000,124,0.4109889374,0.5890110626,0.8219778749,56,99,9.0482577186
lcg_minstd,160,107.5000000000,124,0.8543705087,0.1456294913,0.2912589827,56,105,8.3279552538
lcg_minstd,161,127.3500000000,124,0.4000975885,0.5999024115,0.800195177,56,104,9.0642865314
lcg_minstd,162,115.0750000000,124,0.7048244551,0.2951755449,0.5903510897,58,103,8.6163760064
lcg_minstd,163,149.6750000000,124,0.05804481253,0.9419551875,0.1160896251,62,104,9.8267245880
lcg_minstd,164,115.8500000000,124,0.6867763624,0.3132236376,0.6264472753,58,104,8.6453418373
lcg_minstd,165,117.7250000000,124,0.6416449671,0.3583550329,0.7167100659,57,105,8.7150222549
lcg_minstd,166,128.2750000000,124,0.3780394487,0.6219605513,0.7560788974,63,108,9.0971459544
lcg_minstd,167,158.1750000000,124,0.02071663739,0.9792833626,0.04143327479,58,105,10.1019001726
lcg_minstd,168,130.1000000000,124,0.3360185096,0.6639814904,0.6720370192,59,104,9.1616310704
lcg_minstd,169,114.0500000000,124,0.728049243,0.271950757,0.5439015141,59,103,8.5779161316
lcg_minstd,170,116.8000000000,124,0.6641455981,0.3358544019,0.6717088038,62,102,8.6807164860
lcg_minstd,171,109.6250000000,124,0.8180370133,0.1819629867,0.3639259734,56,103,8.4098636405
lcg_minstd,172,100.5500000000,124,0.9396489468,0.06035105321,0.1207021064,60,101,8.0542515321
lcg_minstd,173,138.3500000000,124,0.178726666,0.821273334,0.357453332,59,108,9.4476486237
lcg_minstd,174,123.8500000000,124,0.4869070326,0.5130929674,0.9738140652,60,101,8.9388604311
lcg_minstd,175,123.0500000000,124,0.5072216886,0.4927783114,0.9855566229,62,107,8.9099437021
lcg_minstd,176,151.9500000000,124,0.04472865079,0.9552713492,0.08945730159,61,105,9.9011240809
lcg_minstd,177,106.9000000000,124,0.8637565178,0.1362434822,0.2724869643,61,105,8.3046819286
lcg_minstd,178,106.2750000000,124,0.8731195365,0.1268804635,0.2537609271,54,105,8.2803693232
lcg_minstd,179,146.3250000000,124,0.08344587055,0.9165541294,0.1668917411,56,108,9.7161322452
lcg_minstd,180,116.5750000000,124,0.6695522729,0.3304477271,0.6608954542,58,104,8.6723513201
lcg_minstd,181,143.3250000000,124,0.1130532328,0.8869467672,0.2261064655,60,109,9.6160148677
lcg_minstd,182,114.6750000000,124,0.7139793352,0.2860206648,0.5720413295,60,101,8.6013877350
lcg_minstd,183,146.2750000000,124,0.08388326001,0.91611674,0.16776652,52,110,9.7144720774
lcg_minstd,184,133.8000000000,124,0.2582657442,0.7417342558,0.5165314883,58,106,9.2909945994
lcg_minstd,185,150.9500000000,124,0.05022703122,0.9497729688,0.1004540624,57,111,9.8684900960
lcg_minstd,186,134.1750000000,124,0.2510118925,0.7489881075,0.502023785,56,105,9.3040053810
