formula,h,log10_h,abs_error,log10_abs_error
Forward O(h),6.309573444801943e-09,-8.2,2.8543677421666303e-09,-8.544490075333046
Forward O(h),7.943282347242822e-09,-8.1,2.3256000458715675e-09,-8.633464972671337
Forward O(h),1e-08,-8.0,2.850324420933248e-10,-9.54510570623619
Forward O(h),1.2589254117941714e-08,-7.899999999999999,5.1806174905522084e-09,-8.285618472541112
Forward O(h),1.5848931924611173e-08,-7.799999999999999,4.498960204379898e-09,-8.34688784837581
Forward O(h),1.995262314968883e-08,-7.699999999999999,6.93034318821617e-09,-8.159245258741995
Forward O(h),2.511886431509582e-08,-7.6,5.148756643258423e-09,-8.288297634680369
Forward O(h),3.162277660168379e-08,-7.5,7.218960651478312e-09,-8.141525325397133
Forward O(h),3.9810717055349855e-08,-7.399999999999999,9.246241328142446e-09,-8.034034775605612
Forward O(h),5.011872336272735e-08,-7.299999999999999,1.2037612795445796e-08,-7.919459630400311
Forward O(h),6.309573444801943e-08,-7.199999999999999,1.6051254658755454e-08,-7.794491014967665
Forward O(h),7.943282347242822e-08,-7.1,1.933856363933728e-08,-7.7135757860273495
Forward O(h),1e-07,-7.0,2.4694985611972697e-08,-7.607391222535139
Forward O(h),1.2589254117941715e-07,-6.899999999999999,3.031424011812334e-08,-7.518353313678135
Forward O(h),1.5848931924611173e-07,-6.799999999999999,3.812312199258372e-08,-7.418811541175561
Forward O(h),1.995262314968883e-07,-6.699999999999999,4.75497045071549e-08,-7.322852177597457
Forward O(h),2.5118864315095823e-07,-6.6,6.039722511008705e-08,-7.218983014144773
Forward O(h),3.162277660168379e-07,-6.5,7.585575501067865e-08,-7.12001146465223
Forward O(h),3.9810717055349856e-07,-6.399999999999999,9.541874457230648e-08,-7.02036630176689
Forward O(h),5.011872336272736e-07,-6.299999999999999,1.2013869765681306e-07,-6.920317080258859
Forward O(h),6.309573444801942e-07,-6.199999999999999,1.5127535513137502e-07,-6.820231818852216
Forward O(h),7.943282347242822e-07,-6.1,1.9041557219878769e-07,-6.72029753786614
Forward O(h),1e-06,-6.0,2.3968967433063426e-07,-6.620350674676477
Forward O(h),1.2589254117941714e-06,-5.899999999999999,3.0175736431825584e-07,-6.520342122245511
Forward O(h),1.5848931924611175e-06,-5.799999999999999,3.7993374213396436e-07,-6.4202921347899675
Forward O(h),1.995262314968883e-06,-5.699999999999999,4.78309684304179e-07,-6.320290825907697
Forward O(h),2.5118864315095823e-06,-5.6,6.0211950725364e-07,-6.220317302446769
Forward O(h),3.162277660168379e-06,-5.5,7.580458062372841e-07,-6.12030455057503
Forward O(h),3.981071705534985e-06,-5.399999999999999,9.543271356493577e-07,-6.020302727126312
Forward O(h),5.011872336272735e-06,-5.299999999999999,1.201415367080294e-06,-5.920306817373271
Forward O(h),6.309573444801943e-06,-5.199999999999999,1.5124902446039812e-06,-5.820307417818186
Forward O(h),7.943282347242822e-06,-5.1,1.9041208025871725e-06,-5.720305502257874
Forward O(h),1e-05,-5.0,2.3971472203898614e-06,-5.620305293025353
Forward O(h),1.2589254117941714e-05,-4.899999999999999,3.0178289064375363e-06,-5.520305385864724
Forward O(h),1.5848931924611175e-05,-4.799999999999999,3.7992272962084073e-06,-5.42030472315069
Forward O(h),1.995262314968883e-05,-4.699999999999999,4.78295762340597e-06,-5.320303466922825
Forward O(h),2.5118864315095822e-05,-4.6,6.0214042013617686e-06,-5.220302218743856
Forward O(h),3.1622776601683795e-05,-4.5,7.580529117423573e-06,-5.120300479756148
Forward O(h),3.981071705534986e-05,-4.399999999999999,9.543367821218673e-06,-5.020298337238976
Forward O(h),5.011872336272735e-05,-4.299999999999999,1.2014465606058344e-05,-4.920295541506058
