case,sweep,T,E,E_per_spin,M,m,abs_m,m2,acceptance
L30_T2,654,2.0,-1588.0,-1.7644444444444445,836,0.9288888888888889,0.9288888888888889,0.8628345679012346,0.06777777777777778
L30_T2,655,2.0,-1588.0,-1.7644444444444445,838,0.9311111111111111,0.9311111111111111,0.8669679012345679,0.07
L30_T2,656,2.0,-1632.0,-1.8133333333333332,854,0.9488888888888889,0.9488888888888889,0.9003901234567901,0.06
L30_T2,657,2.0,-1536.0,-1.7066666666666668,820,0.9111111111111111,0.9111111111111111,0.8301234567901234,0.07
L30_T2,658,2.0,-1456.0,-1.6177777777777778,768,0.8533333333333334,0.8533333333333334,0.7281777777777779,0.10444444444444445
L30_T2,659,2.0,-1492.0,-1.6577777777777778,772,0.8577777777777778,0.8577777777777778,0.7357827160493827,0.10888888888888888
L30_T2,660,2.0,-1516.0,-1.6844444444444444,784,0.8711111111111111,0.8711111111111111,0.7588345679012345,0.10444444444444445
L30_T2,661,2.0,-1548.0,-1.72,796,0.8844444444444445,0.8844444444444445,0.782241975308642,0.09111111111111111
L30_T2,662,2.0,-1620.0,-1.8,814,0.9044444444444445,0.9044444444444445,0.8180197530864198,0.06777777777777778
L30_T2,663,2.0,-1592.0,-1.768888888888889,822,0.9133333333333333,0.9133333333333333,0.8341777777777778,0.06666666666666667
L30_T2,664,2.0,-1652.0,-1.8355555555555556,852,0.9466666666666667,0.9466666666666667,0.8961777777777777,0.06111111111111111
L30_T2,665,2.0,-1660.0,-1.8444444444444446,858,0.9533333333333334,0.9533333333333334,0.9088444444444445,0.04777777777777778
L30_T2,666,2.0,-1572.0,-1.7466666666666666,834,0.9266666666666666,0.9266666666666666,0.8587111111111111,0.06
L30_T2,667,2.0,-1576.0,-1.751111111111111,824,0.9155555555555556,0.9155555555555556,0.838241975308642,0.07666666666666666
L30_T2,668,2.0,-1564.0,-1.7377777777777779,808,0.8977777777777778,0.8977777777777778,0.8060049382716049,0.08888888888888889
L30_T2,669,2.0,-1552.0,-1.7244444444444444,810,0.9,0.9,0.81,0.08333333333333333
L30_T2,670,2.0,-1632.0,-1.8133333333333332,846,0.94,0.94,0.8835999999999999,0.08
L30_T2,671,2.0,-1528.0,-1.6977777777777778,796,0.8844444444444445,0.8844444444444445,0.782241975308642,0.07888888888888888
L30_T2,672,2.0,-1552.0,-1.7244444444444444,788,0.8755555555555555,0.8755555555555555,0.7665975308641975,0.08888888888888889
L30_T2,673,2.0,-1508.0,-1.6755555555555555,788,0.8755555555555555,0.8755555555555555,0.7665975308641975,0.09333333333333334
L30_T2,674,2.0,-1628.0,-1.808888888888889,844,0.9377777777777778,0.9377777777777778,0.8794271604938272,0.08
L30_T2,675,2.0,-1604.0,-1.7822222222222222,836,0.9288888888888889,0.9288888888888889,0.8628345679012346,0.06666666666666667
L30_T2,676,2.0,-1532.0,-1.7022222222222223,812,0.9022222222222223,0.9022222222222223,0.814004938271605,0.07777777777777778
L30_T2,677,2.0,-1528.0,-1.6977777777777778,808,0.8977777777777778,0.8977777777777778,0.8060049382716049,0.09111111111111111
L30_T2,678,2.0,-1576.0,-1.751111111111111,830,0.9222222222222223,0.9222222222222223,0.8504938271604939,0.09
L30_T2,679,2.0,-1648.0,-1.8311111111111111,856,0.9511111111111111,0.9511111111111111,0.9046123456790124,0.06333333333333334
L30_T2,680,2.0,-1576.0,-1.751111111111111,830,0.9222222222222223,0.9222222222222223,0.8504938271604939,0.06333333333333334
L30_T2,681,2.0,-1516.0,-1.6844444444444444,790,0.8777777777777778,0.8777777777777778,0.7704938271604939,0.08666666666666667
L30_T2,682,2.0,-1600.0,-1.7777777777777777,842,0.9355555555555556,0.9355555555555556,0.8752641975308643,0.08222222222222222
L30_T2,683,2.0,-1588.0,-1.7644444444444445,824,0.9155555555555556,0.9155555555555556,0.838241975308642,0.07222222222222222
