order,sweep,E_per_spin,m,abs_m
random,325,-1.2222222222222223,-0.08222222222222222,0.08222222222222222
random,326,-1.191111111111111,-0.044444444444444446,0.044444444444444446
random,327,-1.1244444444444444,-0.0022222222222222222,0.0022222222222222222
random,328,-1.16,0.0044444444444444444,0.0044444444444444444
random,329,-1.2622222222222221,-0.028888888888888888,0.028888888888888888
random,330,-1.2222222222222223,-0.006666666666666667,0.006666666666666667
random,331,-1.2933333333333332,0.022222222222222223,0.022222222222222223
random,332,-1.2266666666666666,0.0044444444444444444,0.0044444444444444444
random,333,-1.1777777777777778,-0.006666666666666667,0.006666666666666667
random,334,-1.191111111111111,-0.006666666666666667,0.006666666666666667
random,335,-1.1333333333333333,-0.02,0.02
random,336,-1.1555555555555554,-0.04666666666666667,0.04666666666666667
random,337,-1.271111111111111,-0.024444444444444446,0.024444444444444446
random,338,-1.2933333333333332,-0.0044444444444444444,0.0044444444444444444
random,339,-1.3066666666666666,-0.011111111111111112,0.011111111111111112
random,340,-1.28,-0.06222222222222222,0.06222222222222222
random,341,-1.2622222222222221,-0.06666666666666667,0.06666666666666667
random,342,-1.1822222222222223,-0.11333333333333333,0.11333333333333333
random,343,-1.1466666666666667,-0.06888888888888889,0.06888888888888889
random,344,-1.1733333333333333,0.0,0.0
random,345,-1.24,-0.008888888888888889,0.008888888888888889
random,346,-1.1955555555555555,0.015555555555555555,0.015555555555555555
random,347,-1.2844444444444445,0.0022222222222222222,0.0022222222222222222
random,348,-1.2044444444444444,-0.011111111111111112,0.011111111111111112
random,349,-1.28,-0.06444444444444444,0.06444444444444444
random,350,-1.2977777777777777,-0.06888888888888889,0.06888888888888889
random,351,-1.231111111111111,-0.03111111111111111,0.03111111111111111
random,352,-1.1644444444444444,-0.04,0.04
random,353,-1.1511111111111112,-0.07555555555555556,0.07555555555555556
random,354,-1.2622222222222221,-0.04666666666666667,0.04666666666666667
random,355,-1.208888888888889,-0.07111111111111111,0.07111111111111111
random,356,-1.1777777777777778,-0.07555555555555556,0.07555555555555556
random,357,-1.2533333333333334,-0.11777777777777777,0.11777777777777777
random,358,-1.2222222222222223,-0.12222222222222222,0.12222222222222222
random,359,-1.2044444444444444,-0.13111111111111112,0.13111111111111112
random,360,-1.2355555555555555,-0.20666666666666667,0.20666666666666667
random,361,-1.1466666666666667,-0.2222222222222222,0.2222222222222222
random,362,-1.1555555555555554,-0.21777777777777776,0.21777777777777776
random,363,-1.1866666666666668,-0.19777777777777777,0.19777777777777777
random,364,-1.2,-0.19111111111111112,0.19111111111111112
random,365,-1.1555555555555554,-0.18888888888888888,0.18888888888888888
random,366,-1.1022222222222222,-0.16666666666666666,0.16666666666666666
random,367,-1.1555555555555554,-0.23333333333333334,0.23333333333333334
random,368,-1.2577777777777779,-0.2,0.2
random,369,-1.2622222222222221,-0.21555555555555556,0.21555555555555556
random,370,-1.28,-0.21555555555555556,0.21555555555555556
random,371,-1.24,-0.22,0.22
random,372,-1.1955555555555555,-0.17777777777777778,0.17777777777777778
random,373,-1.16,-0.18444444444444444,0.18444444444444444
random,374,-1.1555555555555554,-0.1622222222222222,0.1622222222222222
random,375,-1.231111111111111,-0.17333333333333334,0.17333333333333334
random,376,-1.231111111111111,-0.1511111111111111,0.1511111111111111
random,377,-1.1733333333333333,-0.16666666666666666,0.16666666666666666
random,378,-1.1644444444444444,-0.17333333333333334,0.17333333333333334
random,379,-1.1333333333333333,-0.1511111111111111,0.1511111111111111
random,380,-1.2355555555555555,-0.23555555555555555,0.23555555555555555
random,381,-1.2133333333333334,-0.24888888888888888,0.24888888888888888
random,382,-1.2666666666666666,-0.28,0.28
random,383,-1.2533333333333334,-0.26666666666666666,0.26666666666666666
random,384,-1.3111111111111111,-0.27111111111111114,0.27111111111111114
random,385,-1.2044444444444444,-0.27555555555555555,0.27555555555555555
random,386,-1.2666666666666666,-0.3088888888888889,0.3088888888888889
random,387,-1.2533333333333334,-0.2733333333333333,0.2733333333333333
random,388,-1.1733333333333333,-0.2288888888888889,0.2288888888888889
random,389,-1.191111111111111,-0.13111111111111112,0.13111111111111112
random,390,-1.2533333333333334,-0.10444444444444445,0.10444444444444445
random,391,-1.208888888888889,-0.044444444444444446,0.044444444444444446
random,392,-1.2222222222222223,-0.008888888888888889,0.008888888888888889
random,393,-1.2577777777777779,0.008888888888888889,0.008888888888888889
random,394,-1.2133333333333334,0.03777777777777778,0.03777777777777778
random,395,-1.16,-0.0022222222222222222,0.0022222222222222222
random,396,-1.191111111111111,0.0022222222222222222,0.0022222222222222222
random,397,-1.1733333333333333,0.04888888888888889,0.04888888888888889
random,398,-1.0666666666666667,0.015555555555555555,0.015555555555555555
random,399,-1.1822222222222223,0.04,0.04
random,400,-1.2577777777777779,0.05333333333333334,0.05333333333333334
random,401,-1.2044444444444444,0.05333333333333334,0.05333333333333334
random,402,-1.2444444444444445,0.07111111111111111,0.07111111111111111
random,403,-1.1822222222222223,0.07333333333333333,0.07333333333333333
random,404,-1.1955555555555555,0.08,0.08
random,405,-1.248888888888889,0.1288888888888889,0.1288888888888889
random,406,-1.288888888888889,0.11777777777777777,0.11777777777777777
random,407,-1.1955555555555555,0.1111111111111111,0.1111111111111111
random,408,-1.1822222222222223,0.1288888888888889,0.1288888888888889
random,409,-1.1511111111111112,0.1511111111111111,0.1511111111111111
random,410,-1.2177777777777778,0.06,0.06
random,411,-1.1555555555555554,0.03333333333333333,0.03333333333333333
random,412,-1.1511111111111112,0.006666666666666667,0.006666666666666667
random,413,-1.1111111111111112,0.024444444444444446,0.024444444444444446
random,414,-1.1066666666666667,-0.024444444444444446,0.024444444444444446
random,415,-1.191111111111111,-0.12222222222222222,0.12222222222222222
random,416,-1.1422222222222222,-0.08888888888888889,0.08888888888888889
random,417,-1.2,-0.04888888888888889,0.04888888888888889
random,418,-1.0711111111111111,-0.10444444444444445,0.10444444444444445
random,419,-1.1644444444444444,-0.09111111111111111,0.09111111111111111
random,420,-1.1733333333333333,-0.12,0.12
random,421,-1.1822222222222223,-0.10444444444444445,0.10444444444444445
random,422,-1.2444444444444445,-0.09555555555555556,0.09555555555555556
random,423,-1.28,-0.13555555555555557,0.13555555555555557
random,424,-1.1733333333333333,-0.08666666666666667,0.08666666666666667
random,425,-1.1955555555555555,-0.011111111111111112,0.011111111111111112
